nodeId,timeUtc,aqi,pm1MassConc[ug/m3],pm2_5MassConc[ug/m3],pm10MassConc[ug/m3],no2Conc[ppb],temperature[degC],relHumidity[%],latitude,longitude
AMZZDR73,2018-09-15T12:37:00.000Z,64,,6.117647171020508,,66.39752197265625,26.025405883789062,34.81040573120117,48.838565,2.412767
AQB2MV40,2018-09-15T12:48:00.000Z,16,,3.941176414489746,,16.600900650024414,23.122756958007812,40.69733810424805,48.838565,2.412767
AM2JQ85L,2018-09-15T12:52:00.000Z,11,,2.69767427444458,,0,26.855880737304688,32.69550704956055,48.838565,2.412767
AMZZDR73,2018-09-15T12:54:00.000Z,29,,6.411764621734619,,31.110742568969727,26.08148193359375,34.471656799316406,48.838565,2.412767
AQB2MV40,2018-09-15T13:05:00.000Z,36,,4.588235378265381,,37.7370719909668,23.205535888671875,40.190738677978516,48.838565,2.412767
AM2JQ85L,2018-09-15T13:10:00.000Z,29,,3.1395347118377686,,30.943458557128906,27.857254028320312,29.214923858642578,48.838565,2.412767
AMZZDR73,2018-09-15T13:11:00.000Z,62,,5.117647171020508,,64.44367980957031,27.197677612304688,30.62485694885254,48.838565,2.412767
AQB2MV40,2018-09-15T13:22:00.000Z,14,,2.941176414489746,,14.572586059570312,23.64080047607422,38.117034912109375,48.838565,2.412767
AM2JQ85L,2018-09-15T13:28:00.000Z,22,,4.162790298461914,,23.707109451293945,29.49683380126953,27.916379928588867,48.838565,2.412767
AMZZDR73,2018-09-15T13:28:00.000Z,33,,3.1764705181121826,,34.462867736816406,29.32860565185547,27.96063232421875,48.838565,2.412767
AQB2MV40,2018-09-15T13:39:00.000Z,21,,4,,22.548412322998047,24.246963500976562,37.05195617675781,48.838565,2.412767
AMZZDR73,2018-09-15T13:45:00.000Z,20,,2.7058823108673096,,20.753049850463867,31.27527618408203,25.77248764038086,48.838565,2.412767
AM2JQ85L,2018-09-15T13:46:00.000Z,7,,1.767441749572754,,5.000429153442383,31.139083862304688,25.902189254760742,48.838565,2.412767
AQB2MV40,2018-09-15T13:56:00.000Z,38,,4.941176414489746,,40.661067962646484,24.75433349609375,36.06317138671875,48.838565,2.412767
AMZZDR73,2018-09-15T14:02:00.000Z,24,,2.529411792755127,,25.423429489135742,31.219192504882812,25.250629425048828,48.838565,2.412767
AM2JQ85L,2018-09-15T14:03:00.000Z,9,,2.0697672367095947,,0.9355983138084412,30.770584106445312,25.813688278198242,48.838565,2.412767
AQB2MV40,2018-09-15T14:13:00.000Z,13,,2.7058823108673096,,13.383084297180176,24.39116668701172,36.89173889160156,48.838565,2.412767
AMZZDR73,2018-09-15T14:19:00.000Z,17,,3.470588207244873,,17.71636390686035,29.72113800048828,26.730754852294922,48.838565,2.412767
AM2JQ85L,2018-09-15T14:21:00.000Z,7,,1.767441749572754,,0,29.737159729003906,26.898603439331055,48.838565,2.412767
AQB2MV40,2018-09-15T14:30:00.000Z,18,,4.235294342041016,,16.998981475830078,24.1641845703125,37.12062072753906,48.838565,2.412767
AMZZDR73,2018-09-15T14:36:00.000Z,22,,3,,22.88579559326172,28.976119995117188,28.0201416015625,48.838565,2.412767
AM2JQ85L,2018-09-15T14:38:00.000Z,14,,3.3953487873077393,,0,29.28588104248047,28.00640869140625,48.838565,2.412767
AQB2MV40,2018-09-15T14:47:00.000Z,36,,5.235294342041016,,37.66598892211914,24.55939483642578,36.205081939697266,48.838565,2.412767
AMZZDR73,2018-09-15T14:53:00.000Z,42,,4.647058963775635,,44.552207946777344,29.62500762939453,26.60257911682129,48.838565,2.412767
AM2JQ85L,2018-09-15T14:56:00.000Z,17,,2.8372092247009277,,18.00894546508789,29.71045684814453,26.788738250732422,48.838565,2.412767
AQB2MV40,2018-09-15T15:03:00.000Z,17,,4.117647171020508,,15.980085372924805,24.941253662109375,35.829708099365234,48.838565,2.412767
AMZZDR73,2018-09-15T15:10:00.000Z,17,,2.7058823108673096,,17.928224563598633,29.27252960205078,27.07713508605957,48.838565,2.412767
AM2JQ85L,2018-09-15T15:14:00.000Z,9,,2.232558012008667,,0,29.088272094726562,27.18242073059082,48.838565,2.412767
AQB2MV40,2018-09-15T15:20:00.000Z,19,,4.647058963775635,,17.719316482543945,24.79705810546875,35.2590217590332,48.838565,2.412767
AMZZDR73,2018-09-15T15:27:00.000Z,29,,3.7058823108673096,,30.710559844970703,28.538185119628906,28.32379722595215,48.838565,2.412767
AM2JQ85L,2018-09-15T15:33:00.000Z,21,,2.767441749572754,,22.517789840698242,28.47943878173828,28.35431480407715,48.838565,2.412767
AQB2MV40,2018-09-15T15:37:00.000Z,21,,3.7058823108673096,,22.373064041137695,25.1922607421875,34.13748550415039,48.838565,2.412767
AMZZDR73,2018-09-15T15:44:00.000Z,16,,3.058823585510254,,17.40563201904297,28.34058380126953,28.278018951416016,48.838565,2.412767
AM2JQ85L,2018-09-15T15:51:00.000Z,11,,2.6279067993164062,,0,28.100250244140625,28.776988983154297,48.838565,2.412767
AQB2MV40,2018-09-15T15:54:00.000Z,41,,3.588235378265381,,43.83623504638672,25.29106903076172,33.514915466308594,48.838565,2.412767
AMZZDR73,2018-09-15T16:01:00.000Z,23,,4.705882549285889,,24.70309829711914,28.228424072265625,28.152894973754883,48.838565,2.412767
AM2JQ85L,2018-09-15T16:08:00.000Z,21,,2.767441749572754,,22.232351303100586,27.9560546875,28.41840171813965,48.838565,2.412767
AQB2MV40,2018-09-15T16:11:00.000Z,35,,3.529411792755127,,37.211036682128906,25.95330810546875,32.181278228759766,48.838565,2.412767
AMZZDR73,2018-09-15T16:18:00.000Z,54,,6.058823585510254,,56.727203369140625,27.972076416015625,28.55573272705078,48.838565,2.412767
AM2JQ85L,2018-09-15T16:26:00.000Z,38,,3.0697672367095947,,40.114437103271484,27.165634155273438,30.067903518676758,48.838565,2.412767
AQB2MV40,2018-09-15T16:28:00.000Z,40,,3.8235294818878174,,42.33869171142578,26.39124298095703,32.164493560791016,48.838565,2.412767
AMZZDR73,2018-09-15T16:36:00.000Z,46,,4.470588207244873,,48.95893096923828,27.000076293945312,30.127412796020508,48.838565,2.412767
AM2JQ85L,2018-09-15T16:44:00.000Z,60,,6.697673797607422,,62.246360778808594,26.233688354492188,32.260623931884766,48.838565,2.412767
AQB2MV40,2018-09-15T16:45:00.000Z,67,,6.882352828979492,,69.02903747558594,26.460670471191406,32.318607330322266,48.838565,2.412767
AMZZDR73,2018-09-15T16:53:00.000Z,57,,5.705882549285889,,59.966339111328125,26.39391326904297,32.265201568603516,48.838565,2.412767
AQB2MV40,2018-09-15T17:02:00.000Z,44,,4.294117450714111,,46.33371353149414,26.588844299316406,33.19447708129883,48.838565,2.412767
AMZZDR73,2018-09-15T17:10:00.000Z,62,,5.705882549285889,,64.46251678466797,25.843826293945312,33.540855407714844,48.838565,2.412767
AQB2MV40,2018-09-15T17:18:00.000Z,65,,5.176470756530762,,66.77324676513672,25.58747100830078,34.76310348510742,48.838565,2.412767
AM2JQ85L,2018-09-15T17:20:00.000Z,49,,5.069766998291016,,52.308929443359375,24.746315002441406,35.655757904052734,48.838565,2.412767
AMZZDR73,2018-09-15T17:27:00.000Z,59,,6,,61.14805603027344,24.631492614746094,35.918212890625,48.838565,2.412767
AQB2MV40,2018-09-15T17:35:00.000Z,50,,6.941176414489746,,53.082122802734375,24.671546936035156,36.65522384643555,48.838565,2.412767
AM2JQ85L,2018-09-15T17:38:00.000Z,34,,4.39534854888916,,35.891029357910156,24.011978149414062,37.500572204589844,48.838565,2.412767
AMZZDR73,2018-09-15T17:44:00.000Z,74,,10.058823585510254,,75.63941192626953,23.600746154785156,38.31692886352539,48.838565,2.412767
AQB2MV40,2018-09-15T17:52:00.000Z,79,,6.764705657958984,,80.2226791381836,23.85443115234375,38.69382858276367,48.838565,2.412767
AMZZDR73,2018-09-15T18:01:00.000Z,68,,9.058823585510254,,70.07920837402344,22.671470642089844,40.61035919189453,48.838565,2.412767
AQB2MV40,2018-09-15T18:09:00.000Z,66,,6.176470756530762,,67.67840576171875,23.162811279296875,40.372318267822266,48.838565,2.412767
AM2JQ85L,2018-09-15T18:14:00.000Z,39,,5.604650974273682,,41.57862091064453,22.132064819335938,41.69222640991211,48.838565,2.412767
AMZZDR73,2018-09-15T18:18:00.000Z,70,,10.352941513061523,,71.59990692138672,21.7662353515625,42.74967575073242,48.838565,2.412767
AQB2MV40,2018-09-15T18:26:00.000Z,62,,8.235294342041016,,63.972469329833984,22.487220764160156,41.976043701171875,48.838565,2.412767
AM2JQ85L,2018-09-15T18:32:00.000Z,54,,8.930232048034668,,57.12435531616211,21.32830047607422,44.141300201416016,48.838565,2.412767
AMZZDR73,2018-09-15T18:35:00.000Z,65,,9.235294342041016,,66.76004028320312,21.04791259765625,44.57923126220703,48.838565,2.412767
AQB2MV40,2018-09-15T18:43:00.000Z,83,,10.29411792755127,,84.08026123046875,21.966506958007812,43.37682342529297,48.838565,2.412767
